method,seed,cond_gender_auc,cond_age_r2,tstr_node_gender_auc,tstr_node_age_r2,n_params,seconds,best_epoch,best_val,test_loss,test_loss_num,test_loss_cat,ks_age,tv_gender,tv_occupation,tv_zip_region,marginal_score,assoc_error,tstr_table_auc,cond_occ_acc,hom_gender_gap,hom_age_gap,dcr_ratio,exact_match,exact_match_real_test,node_gap_gender_agree,node_gap_age_mae
probe_real_labels,1000,0.7224264705882354,0.16032456281630458,0.7224264705882354,0.16032456281630458,,,,,,,,,,,,,,,,,,,,,,
marginal_bootstrap,1000,0.48875175070028015,-0.005280417620484812,0.428921568627451,-0.021160573125938775,0.0,0.0,,,,,,0.06210275423728817,0.0022510593220338715,0.11096398305084745,0.10037076271186442,0.06892213983050847,0.20301829638169513,0.5758928571428572,0.1228813559322034,0.0754237288135593,0.16518328215456857,1.289338654503991,0.0847457627118644,0.16101694915254236,0.04877756112194387,-1.054942252887356
row_bootstrap,1000,0.4055497198879552,-0.046996553072219394,0.4734768907563025,0.018713590316130624,0.0,0.0,,,,,,0.056011652542372836,0.004237288135593209,0.11904131355932202,0.09878177966101696,0.06951800847457626,0.07854483917521134,0.6115196078431373,0.18220338983050846,0.039830508474576254,0.1535177686419859,0.0,1.0,0.16101694915254236,0.010641967901604876,0.27331633418329027
diff_uncond,1000,0.4702380952380953,-0.08727367043381173,0.553921568627451,-0.09833682016427403,233123.0,16.5,65.0,0.4742370694875717,0.48123544454574585,0.46254511177539825,0.018690327648073435,0.08236228813559321,0.002515889830508461,0.1586334745762712,0.12341101694915253,0.09173066737288135,0.11768373739793796,0.4681372549019608,0.1652542372881356,0.06864406779661014,0.1874456514965936,1.200399087799316,0.08050847457627118,0.16101694915254236,0.00500974951252442,-1.821576421178941
diff_flat,1000,0.46857492997198885,0.11627989017735874,0.5547093837535014,0.07674180111360274,241987.0,11.9,10.0,0.4608158618211746,0.4905623719096184,0.4718482792377472,0.018714092671871185,0.1195709745762712,0.025820974576271194,0.12394067796610171,0.12778072033898308,0.09927833686440679,0.13646794259314823,0.40870098039215685,0.19491525423728814,0.054661016949152486,0.10658570296633527,1.2927594070695554,0.09322033898305085,0.16101694915254236,0.00785210739463027,-0.7501949902504865
diff_gnn,1000,0.4721638655462185,0.06173240545000491,0.5366771708683473,0.04077520032369297,255683.0,63.7,75.0,0.4483416676521301,0.4735830947756767,0.4549269899725914,0.01865610759705305,0.06660487288135593,0.009004237288135597,0.13016419491525427,0.11109639830508475,0.07921742584745764,0.10612951839454861,0.46647408963585435,0.211864406779661,0.08389830508474572,0.13731772868676573,1.15193842645382,0.11016949152542373,0.16101694915254236,0.012786860656967214,-0.9094720263986797
diff_gnn_shuffled,1000,0.48936449579831937,-0.07707722609355461,0.5403536414565826,-0.09724794297692219,255683.0,57.5,65.0,0.4778575599193573,0.4860541820526123,0.46735820919275284,0.018695979844778776,0.08779131355932202,0.003442796610169524,0.16353283898305088,0.1206302966101695,0.09384931144067797,0.11197337915139109,0.5314250700280111,0.1652542372881356,0.03771186440677965,0.16917322116118727,1.2651083238312433,0.11864406779661017,0.16101694915254236,0.011391930403479855,-1.341825408729564
diff_gnn_knn,1000,0.490983893557423,0.08981479427469397,0.5449929971988795,0.0418721329036047,243779.0,14.7,10.0,0.45548006892204285,0.4995245337486267,0.4807509705424309,0.018773560412228107,0.11533368644067798,0.026483050847457612,0.13095868644067796,0.12155720338983053,0.09858315677966104,0.1321281576442388,0.4098389355742297,0.19491525423728814,0.04830508474576267,0.12551620726561735,1.238027366020525,0.11016949152542373,0.16101694915254236,0.008924553772311383,-0.8450727463626819
probe_real_labels,1001,0.714110644257703,0.2250721516300106,0.714110644257703,0.2250721516300106,,,,,,,,,,,,,,,,,,,,,,
marginal_bootstrap,1001,0.516500350140056,-0.061196214483449474,0.38690476190476186,0.02821350705968073,0.0,0.0,,,,,,0.08898305084745761,0.0017213983050847481,0.09891419491525424,0.07454978813559321,0.06604210805084745,0.20118895462865713,0.4683560924369748,0.13983050847457626,0.08135593220338988,0.16984535527444408,1.5361354702146965,0.05508474576271186,0.1228813559322034,0.017346632668366557,0.6679991000449963
row_bootstrap,1001,0.4905899859943978,0.007937554771460631,0.5986519607843137,0.039854626295318996,0.0,0.0,,,,,,0.0858050847457627,0.002913135593220345,0.09745762711864409,0.07229872881355932,0.06461864406779662,0.0675477440941248,0.6888567927170868,0.17796610169491525,0.039830508474576254,0.1603060827072519,0.0,1.0,0.1228813559322034,-0.03666566671666416,0.1437303134843262
diff_uncond,1001,0.4718137254901961,0.003987002625029712,0.4415266106442577,-0.11258185993812764,233123.0,16.0,80.0,0.5216070860624313,0.47371166199445724,0.45663703978061676,0.017074629431590438,0.0757415254237288,0.0078125,0.09295550847457627,0.07176906779661017,0.06206965042372882,0.09173955314092487,0.633359593837535,0.18220338983050846,0.07711864406779656,0.17355334746106152,1.394315089204718,0.1059322033898305,0.1228813559322034,-0.04379781010949457,-0.29201289935503283
