method,cond_gender_auc_mean,cond_gender_auc_std,cond_age_r2_mean,cond_age_r2_std,tstr_node_gender_auc_mean,tstr_node_gender_auc_std,tstr_node_age_r2_mean,tstr_node_age_r2_std,n_params_mean,n_params_std,seconds_mean,seconds_std,best_epoch_mean,best_epoch_std,best_val_mean,best_val_std,test_loss_mean,test_loss_std,test_loss_num_mean,test_loss_num_std,test_loss_cat_mean,test_loss_cat_std,ks_age_mean,ks_age_std,tv_gender_mean,tv_gender_std,tv_occupation_mean,tv_occupation_std,tv_zip_region_mean,tv_zip_region_std,marginal_score_mean,marginal_score_std,assoc_error_mean,assoc_error_std,tstr_table_auc_mean,tstr_table_auc_std,cond_occ_acc_mean,cond_occ_acc_std,hom_gender_gap_mean,hom_gender_gap_std,hom_age_gap_mean,hom_age_gap_std,dcr_ratio_mean,dcr_ratio_std,exact_match_mean,exact_match_std,exact_match_real_test_mean,exact_match_real_test_std,node_gap_gender_agree_mean,node_gap_gender_agree_std,node_gap_age_mae_mean,node_gap_age_mae_std
probe_real_labels,0.7060399159663866,0.024664337100767687,0.1815226797465942,0.03912212145463878,0.7060399159663866,0.024664337100767687,0.1815226797465942,0.03912212145463878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marginal_bootstrap,0.5015712535014005,0.030010445116991597,-0.03126695372131845,0.030925737503217417,0.4882703081232493,0.07449157117121998,-0.0781533208625369,0.1687661975965559,0.0,0.0,0.0,0.0,,,,,,,,,,,0.06412870762711864,0.025129924496157918,0.00406514830508474,0.0032995054392331593,0.11926641949152542,0.019720247963555294,0.09378972457627119,0.014950751417354875,0.0703125,0.00925573786763792,0.2055183341068007,0.01900986265618513,0.47909226190476184,0.04598255681218789,0.15169491525423728,0.01750500947438381,0.05012711864406777,0.030233280972601792,0.1558382281963132,0.05876591540970861,1.2451390661485677,0.14734485589722926,0.08135593220338982,0.02258120778724445,0.13644067796610168,0.015186079159000684,0.005320983950802449,0.03936376076018547,0.33021823908804554,0.8019251858761767
row_bootstrap,0.4874562324929972,0.04644735109392614,-0.0290644288324018,0.02382853738043799,0.5033613445378151,0.0571731377365287,-0.05343135716589152,0.0683576130136509,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0627780720338983,0.022999415374018162,0.0025688559322033845,0.0018222272074785023,0.1226165254237288,0.01952624949951884,0.09708686440677966,0.01896810193938996,0.07126257944915254,0.008501216446245885,0.07095848624396003,0.021001248128374925,0.6593005952380953,0.043018959955615284,0.16228813559322033,0.014820416259406406,0.03262711864406779,0.025688359105748952,0.1637494974684282,0.056153459243855376,0.0,0.0,1.0,0.0,0.13644067796610168,0.015186079159000684,0.002923353832308373,0.04276158892721199,-0.4406524673766311,0.818138172802825
diff_uncond,0.4784269957983193,0.057658918854595044,-0.04829689527343366,0.028598097325426494,0.47762605042016804,0.05251827205238219,-0.11930292431829363,0.11526671900791137,233123.0,0.0,18.04,4.015304056564916,97.0,45.16635916254486,0.4813499964773655,0.026897966567849728,0.49090830236673355,0.026311451274002785,0.47308610677719115,0.026428759897236417,0.01782219761516899,0.0007469716360810691,0.07661546610169492,0.02038432381826217,0.01640625,0.01948744399186068,0.1319385593220339,0.02590050496503845,0.11161281779661017,0.02241001420406307,0.08414327330508475,0.011166526913209802,0.0988694516082426,0.02452721385380062,0.549094012605042,0.06001675260584249,0.17415254237288136,0.02553725438175541,0.043855932203389805,0.023590742031122804,0.15767663664027318,0.05074329398951559,1.066335202424901,0.15797180590974447,0.0923728813559322,0.020350749891895906,0.13644067796610168,0.015186079159000684,-0.00324433778311084,0.03190972542810002,-0.2550119994000301,0.9250366430078877
diff_flat,0.49032738095238093,0.03825603931151851,0.15101749532223463,0.06086545243784015,0.4995885854341737,0.050523992957249665,0.13089144830658955,0.030925134175136378,241987.0,0.0,14.35,2.1088438117182187,34.5,22.167293224227645,0.478375855833292,0.03002655050394283,0.4894654303789139,0.022732778309317383,0.4716235712170601,0.022771565261477344,0.017841858463361858,0.0007372871800761488,0.07754237288135594,0.04049478920103476,0.031223516949152548,0.025656368160821768,0.12509269067796608,0.022526948784353042,0.10143008474576272,0.018701151363444423,0.08382216631355932,0.01447212214457232,0.1267456476022881,0.017273120323262607,0.5363314075630252,0.07678814336388944,0.17966101694915254,0.020291847453184155,0.056144067796610145,0.034254397330477034,0.07630496775783105,0.04148476145811398,1.0721126776044525,0.11695923623459355,0.10296610169491524,0.019879661265821233,0.13644067796610168,0.015186079159000684,-0.0010289485525723618,0.026973202262932806,0.6575026248687565,0.8224947130641351
diff_gnn,0.4825849089635854,0.04680865906254089,0.11698279019720396,0.05772181685418529,0.5006652661064426,0.06422998853734772,0.07437785109793649,0.059583662080780704,255683.0,0.0,60.129999999999995,12.150999044431607,72.5,27.81386544713106,0.47125962674617766,0.02542315304625623,0.4718542627990246,0.016250488025635078,0.45405643060803413,0.016321271591667807,0.017797833075746894,0.000736654923501797,0.08148834745762713,0.02901826243412463,0.022272245762711862,0.02145996995861692,0.13265360169491527,0.01248138940838746,0.1070709745762712,0.02239686152435816,0.08587129237288135,0.01066019327869324,0.10842421056941706,0.019662100153810876,0.5511773459383754,0.07457418968928672,0.18813559322033896,0.02769226199582479,0.05567796610169491,0.03389548010827643,0.10142319113570013,0.055303566614333034,1.0438476668817347,0.12710013430555606,0.10805084745762712,0.01588590660904236,0.13644067796610168,0.015186079159000684,-0.0013454327283635604,0.031286213694472514,-0.05966176691165455,0.8375157355007257
diff_gnn_shuffled,0.4837403711484594,0.04934889119952876,-0.03935972379174302,0.04474844588234023,0.48609943977591036,0.057738376580996356,-0.07363735200648,0.06157769779988737,255683.0,0.0,65.3,11.872096136178591,86.0,26.956755492207634,0.48567677959799765,0.022603483264537736,0.4934527024626732,0.023211423716127205,0.4756659597158432,0.023186426253358833,0.017786745587363838,0.0007307092130979959,0.08460010593220338,0.02376372832362286,0.009480932203389835,0.007910067565516954,0.12958156779661018,0.01944989329721472,0.10377383474576271,0.02233099064878439,0.08185911016949152,0.007947348624920785,0.10345277330891614,0.019856969944364082,0.5589154411764705,0.06023100018668747,0.1652542372881356,0.024382311442983147,0.04491525423728813,0.027139234179605537,0.15145157759645922,0.051099315435894264,1.0384051749608623,0.13917875675321845,0.12203389830508475,0.016925595682424,0.13644067796610168,0.015186079159000684,-0.0037753112344382834,0.030188406776961184,-0.22835383230838424,0.7476345663047946
diff_gnn_knn,0.47822128851540613,0.05008591204252171,0.12771722565814037,0.06177133687639152,0.496875,0.04982641945296,0.10127041654222216,0.049461040381605606,243779.0,0.0,16.0,1.5441646429200626,18.0,8.881941729649485,0.49087904393672943,0.030856188870954454,0.49750249087810516,0.02173968062402922,0.4796036772429943,0.02160744886870335,0.017898819129914045,0.0007995695472606902,0.1117584745762712,0.016010142644292194,0.02616525423728814,0.019500411052669333,0.13070709745762712,0.021328809883049343,0.11393008474576272,0.017154599330986824,0.09564022775423729,0.010660461125120316,0.13849281831620391,0.024117655837051475,0.5269651610644257,0.06574616885147584,0.17288135593220338,0.02319138503025287,0.0563559322033898,0.028460364357577754,0.08892439729706972,0.047307689602447085,1.0722434260181077,0.17028255265659836,0.11186440677966103,0.026813847401320416,0.13644067796610168,0.015186079159000684,0.0034010799460027163,0.03767950039611232,0.5578843557822107,0.9503543031220225
